model,metric_dataset,r2,mae,mse,bigInference
optimized.model,['..',_,'ssd.csv']-r2-mse0.9458778027312997,1436.334403864342,11974509.942336084,cost:2.9642257690429688
convex.model,['..',_,'ssd.csv']-r2-mse0.9769976758116533,855.842454392254,5089253.090053096,cost:1.9650309085845947
50_50_LSTM.model,['..',_,'ssd.csv']-r2-mse-0.5504694902161376,11036.842037951797,343040624.0475938,cost:11.898906469345093
concave.model,['..',_,'ssd.csv']-r2-mse0.9637178145575062,1005.0526089524404,8027415.963063279,cost:2.0272507667541504
sin.model,['..',_,'ssd.csv']-r2-mse0.9522674646400617,1288.159419985654,10560800.338589348,cost:2.1861298084259033
trend_up.model,['..',_,'ssd.csv']-r2-mse0.942369802692852,1785.8256392242783,12750653.252437837,cost:2.2206156253814697
all_model.model,['..',_,'ssd.csv']-r2-mse0.9310463303388119,1777.6525508335644,15255966.028488712,cost:3.480262041091919
trend_down.model,['..',_,'ssd.csv']-r2-mse0.9660865515326122,1078.2267315410343,7503334.054149519,cost:2.3994483947753906
optimized+misc.model,['..',_,'ssd.csv']-r2-mse0.9398160815269961,1547.5205063662493,13315662.823994523,cost:4.083294153213501
const.model,['..',_,'ssd.csv']-r2-mse-0.5569150037537711,11100.323191199113,344466690.7971877,cost:2.5627946853637695
all_misc.model,['..',_,'ssd.csv']-r2-mse0.951673989211537,1276.8836245278537,10692106.489818217,cost:3.9743669033050537
tps_5_model,['..',_,'ssd.csv']-r2-mse-0.4106185222009884,10119.100859951668,312098665.0833518,cost:11.654145240783691
ssd_tps_5_model,['..',_,'ssd.csv']-r2-mse-0.41558375336981324,10140.884039533417,313197220.07552826,cost:11.27053952217102
hdd_tps_5_model,['..',_,'ssd.csv']-r2-mse-0.5276002736663186,10806.078748920563,337980820.9581206,cost:11.702009677886963
ssd_await_5_model,['..',_,'ssd.csv']-r2-mse-0.5558074969240052,11089.06152711628,344221655.4473035,cost:12.062885046005249
hdd_await_5_model,['..',_,'ssd.csv']-r2-mse-0.5513895722367339,11045.26410540029,343244191.7491912,cost:11.406573057174683
nvme_await_5_model,['..',_,'ssd.csv']-r2-mse-0.5509670215641591,11042.499707475275,343150702.61746275,cost:11.268585205078125
nvme_tps_5_model,['..',_,'ssd.csv']-r2-mse-0.21748159611576723,10736.163111501262,269367213.6946035,cost:11.308361053466797
