model,metric_dataset,r2,mae,mse,bigInference
optimized.model,tps__tps__ssd.csv,0.9458778027312997,1436.334403864342,11974509.942336084,3.0023913383483887
convex.model,tps__tps__ssd.csv,0.9769976758116533,855.842454392254,5089253.090053096,2.1054437160491943
50_50_LSTM.model,tps__tps__ssd.csv,-0.5504694902161376,11036.842037951797,343040624.0475938,11.295552968978882
concave.model,tps__tps__ssd.csv,0.9637178145575062,1005.0526089524404,8027415.963063279,2.1459407806396484
sin.model,tps__tps__ssd.csv,0.9522674646400617,1288.159419985654,10560800.338589348,2.240396499633789
trend_up.model,tps__tps__ssd.csv,0.942369802692852,1785.8256392242783,12750653.252437837,2.206059455871582
all_model.model,tps__tps__ssd.csv,0.9310463303388119,1777.6525508335644,15255966.028488712,3.4452497959136963
trend_down.model,tps__tps__ssd.csv,0.9660865515326122,1078.2267315410343,7503334.054149519,2.322979211807251
optimized+misc.model,tps__tps__ssd.csv,0.9398160815269961,1547.5205063662493,13315662.823994523,2.9235353469848633
const.model,tps__tps__ssd.csv,-0.5569150037537711,11100.323191199113,344466690.7971877,2.0703353881835938
all_misc.model,tps__tps__ssd.csv,0.951673989211537,1276.8836245278537,10692106.489818217,3.522620439529419
tps_5_model,tps__tps__ssd.csv,-0.4106185222009884,10119.100859951668,312098665.0833518,11.14349889755249
ssd_tps_5_model,tps__tps__ssd.csv,-0.41558375336981324,10140.884039533417,313197220.07552826,11.289876222610474
hdd_tps_5_model,tps__tps__ssd.csv,-0.5276002736663186,10806.078748920563,337980820.9581206,11.57425332069397
ssd_await_5_model,tps__tps__ssd.csv,-0.5558074969240052,11089.06152711628,344221655.4473035,11.35503625869751
hdd_await_5_model,tps__tps__ssd.csv,-0.5513895722367339,11045.26410540029,343244191.7491912,11.39225435256958
nvme_await_5_model,tps__tps__ssd.csv,-0.5509670215641591,11042.499707475275,343150702.61746275,11.431430339813232
nvme_tps_5_model,tps__tps__ssd.csv,-0.21748159611576723,10736.163111501262,269367213.6946035,11.378999471664429
nvme_tps_5_model,tps__tps__ssd.csv,-0.21572407432747864,10765.287128662581,268978362.84985214,11.345782995223999
nvme_await_5_model,tps__tps__ssd.csv,-0.5336777822790846,10867.573059118691,339325466.7962578,11.123955965042114
hdd_tps_5_model,tps__tps__ssd.csv,-0.5276544706336179,10806.10175510875,337992812.010896,11.18582797050476
ssd_tps_5_model,tps__tps__ssd.csv,-0.4106575621775075,10117.858547203961,312107302.6592554,11.282490253448486
hdd_await_5_model,tps__tps__ssd.csv,-0.5513990451558826,11045.29749761537,343246287.6279665,11.247258186340332
ssd_await_5_model,tps__tps__ssd.csv,-0.5558564139423159,11089.54582814164,344232478.3139214,11.324337482452393
ssd_svctm_5_model,tps__tps__ssd.csv,-0.5568832411036231,11100.038099612459,344459663.32622033,11.423908233642578
nvme_svctm_5_model,tps__tps__ssd.csv,-0.5566280946006972,11097.470735999745,344403212.2859776,11.427408456802368
hdd_svctm_5_model,tps__tps__ssd.csv,-0.5565783018931301,11096.978726460888,344392195.67353565,11.064475774765015
hdd_rd_secps_5_model,tps__tps__ssd.csv,-86.03748308791363,137860.21276492317,19257000993.839367,11.446247577667236
ssd_rd_secps_5_model,tps__tps__ssd.csv,-121.08169620215872,163660.7968298892,27010516178.644245,11.231237888336182
nvme_rd_secps_5_model,tps__tps__ssd.csv,-107.0485440213691,153881.67839344297,23905688052.82163,11.392053604125977
ssd_%util_5_model,tps__tps__ssd.csv,-0.5469339258335741,11000.861016634113,342258382.1397017,11.59696364402771
nvme_%util_5_model,tps__tps__ssd.csv,-0.5470507245268494,11001.95952003299,342284223.7940406,11.666585445404053
hdd_%util_5_model,tps__tps__ssd.csv,-0.5475904084277969,11006.240101624975,342403628.5958362,11.149836301803589
hdd_wr_secps_5_model,tps__tps__ssd.csv,3.86007425897672e-05,12382.910390097382,221240975.45250538,11.036672592163086
nvme_wr_secps_5_model,tps__tps__ssd.csv,-0.5070590742543102,10594.39728079131,333436090.5332741,11.311561822891235
ssd_wr_secps_5_model,tps__tps__ssd.csv,-0.5316629456607525,10896.95331521061,338879685.1699388,11.296278715133667
ssd_Avgrq_sz_5_model,tps__tps__ssd.csv,-0.5070385194115254,10594.122185860633,333431542.7842597,11.425997972488403
hdd_Avgrq_sz_5_model,tps__tps__ssd.csv,-0.5067257305074773,10591.340971162375,333362338.3906764,11.497605800628662
nvme_Avgrq_sz_5_model,tps__tps__ssd.csv,-0.5057046355770751,10581.716096254439,333136421.6316899,11.123449563980103
optimized.model,rd_sec/s__rd_sec/s__ssd.csv,0.6395330532008985,95261.90525706884,39455730914.5965,2.826860189437866
convex.model,rd_sec/s__rd_sec/s__ssd.csv,0.8427888408589324,57536.98916248464,17207905598.342728,2.326411724090576
50_50_LSTM.model,rd_sec/s__rd_sec/s__ssd.csv,-1.4058858884490326,392296.28332096897,263341721255.72144,11.270524263381958
concave.model,rd_sec/s__rd_sec/s__ssd.csv,0.7797747618430595,66511.85121996308,24105255182.15095,2.0847043991088867
sin.model,rd_sec/s__rd_sec/s__ssd.csv,0.7198993904748463,80066.3868263073,30659050369.459496,1.9826569557189941
trend_up.model,rd_sec/s__rd_sec/s__ssd.csv,0.7549877356469554,98450.16784679734,26818375606.786156,1.758070707321167
all_model.model,rd_sec/s__rd_sec/s__ssd.csv,0.6446951678718778,105063.55027383957,38890699892.42634,3.043370485305786
trend_down.model,rd_sec/s__rd_sec/s__ssd.csv,0.792927225707919,71438.32333813845,22665622284.533096,1.766209602355957
optimized+misc.model,rd_sec/s__rd_sec/s__ssd.csv,0.637065462580038,97253.81839192586,39725826667.92035,2.944021463394165
const.model,rd_sec/s__rd_sec/s__ssd.csv,-1.4063284702579493,392342.8178947297,263390165055.9516,2.153357744216919
all_misc.model,rd_sec/s__rd_sec/s__ssd.csv,0.700177116396001,82481.95358695759,32817796812.063374,3.525186061859131
tps_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.3958300950127156,391539.940722713,262241041475.01126,11.274455547332764
ssd_tps_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.3959880609953057,391568.16142664425,262258332001.52997,11.333586931228638
hdd_tps_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.4042636262584027,392179.6643299898,263164152851.64224,11.453386306762695
ssd_await_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.4061981702180506,392336.76538388774,263375902768.22156,11.439983367919922
hdd_await_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.4057685385068526,392342.10484156496,263328876450.44144,11.29457426071167
nvme_await_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.4058699971573443,392350.74238501536,263339981838.1845,11.67238187789917
nvme_tps_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.3778241602965418,389380.2383662773,260270160867.68866,11.273313999176025
nvme_tps_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.3770278599756423,389384.2695454052,260183000001.85168,11.383586406707764
nvme_await_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.4046878064849593,392210.8738121495,263210582464.7508,11.361154079437256
hdd_tps_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.4042816501467548,392183.35574002,263166125697.40567,11.235065937042236
ssd_tps_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.3957740682287803,391520.05619965616,262234908935.72964,11.45083475112915
hdd_await_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.405922537499984,392369.40755253006,263345732761.0909,11.20023488998413
ssd_await_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.406235795242147,392337.52028097614,263380021100.95523,11.275712966918945
ssd_svctm_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.4063259335195224,392342.57828791626,263389887391.46762,11.605724573135376
nvme_svctm_5_model,rd_sec/s__rd_sec/s__ssd.csv,-1.406308854095125,392341.1920618706,263388017924.15808,11.597413063049316
