metric-dataset,mode,r2,mse,inference 74k+
tps_-../datasets/ssd.csv,r2,0.9458778027312997,11974509.942336084,2.4566640853881836
tps_-../datasets/ssd.csv,r2,0.9458778027312997,11974509.942336084,2.14107084274292
tps_-../datasets/ssd.csv,r2,0.9769976758116533,5089253.090053096,1.3906283378601074
tps_-../datasets/ssd.csv,r2,0.9769976758116533,5089253.090053096,1.3293194770812988
tps_-../datasets/ssd.csv,r2,0.9637178145575062,8027415.963063279,1.3466017246246338
tps_-../datasets/ssd.csv,r2,0.9637178145575062,8027415.963063279,1.3396787643432617
tps_-../datasets/ssd.csv,r2,0.9522674646400617,10560800.338589348,1.3657374382019043
tps_-../datasets/ssd.csv,r2,0.9522674646400617,10560800.338589348,1.362053394317627
tps_-../datasets/ssd.csv,r2,0.942369802692852,12750653.252437837,1.3502025604248047
tps_-../datasets/ssd.csv,r2,0.942369802692852,12750653.252437837,1.3135919570922852
tps_-../datasets/ssd.csv,r2,0.9310463303388119,15255966.028488712,3.3167967796325684
tps_-../datasets/ssd.csv,r2,0.9310463303388119,15255966.028488712,3.0387163162231445
tps_-../datasets/ssd.csv,r2,0.9660865515326122,7503334.054149519,1.4132153987884521
tps_-../datasets/ssd.csv,r2,0.9660865515326122,7503334.054149519,1.3494136333465576
tps_-../datasets/ssd.csv,r2,0.9398160815269961,13315662.823994523,2.6227779388427734
tps_-../datasets/ssd.csv,r2,0.9398160815269961,13315662.823994523,2.4237964153289795
tps_-../datasets/ssd.csv,r2,0.951673989211537,10692106.489818217,3.2573275566101074
tps_-../datasets/ssd.csv,r2,0.951673989211537,10692106.489818217,3.0141546726226807
tps_-../datasets/ssd.csv,r2,3.86007425897672e-05,221240975.45250538,12.518407106399536
tps_-../datasets/ssd.csv,r2,3.86007425897672e-05,221240975.45250538,9.998586416244507
rd_sec/s_-../datasets/ssd.csv,r2,0.6395330532008985,39455730914.5965,2.1168925762176514
rd_sec/s_-../datasets/ssd.csv,r2,0.6395330532008985,39455730914.5965,2.500579357147217
rd_sec/s_-../datasets/ssd.csv,r2,0.8427888408589324,17207905598.342728,1.585545539855957
rd_sec/s_-../datasets/ssd.csv,r2,0.8427888408589324,17207905598.342728,1.8881516456604004
rd_sec/s_-../datasets/ssd.csv,r2,0.7797747618430595,24105255182.15095,1.4612383842468262
rd_sec/s_-../datasets/ssd.csv,r2,0.7797747618430595,24105255182.15095,1.3688716888427734
rd_sec/s_-../datasets/ssd.csv,r2,0.7198993904748463,30659050369.459496,1.386483907699585
rd_sec/s_-../datasets/ssd.csv,r2,0.7198993904748463,30659050369.459496,1.3512113094329834
rd_sec/s_-../datasets/ssd.csv,r2,0.7549877356469554,26818375606.786156,1.3973536491394043
rd_sec/s_-../datasets/ssd.csv,r2,0.7549877356469554,26818375606.786156,1.3720860481262207
rd_sec/s_-../datasets/ssd.csv,r2,0.6446951678718778,38890699892.42634,3.205888032913208
rd_sec/s_-../datasets/ssd.csv,r2,0.6446951678718778,38890699892.42634,2.943916082382202
rd_sec/s_-../datasets/ssd.csv,r2,0.792927225707919,22665622284.533096,1.3454420566558838
rd_sec/s_-../datasets/ssd.csv,r2,0.792927225707919,22665622284.533096,1.4471142292022705
rd_sec/s_-../datasets/ssd.csv,r2,0.637065462580038,39725826667.92035,2.52315354347229
rd_sec/s_-../datasets/ssd.csv,r2,0.637065462580038,39725826667.92035,2.5654280185699463
rd_sec/s_-../datasets/ssd.csv,r2,0.700177116396001,32817796812.063374,3.012007236480713
rd_sec/s_-../datasets/ssd.csv,r2,0.700177116396001,32817796812.063374,3.134730339050293
wr_sec/s_-../datasets/ssd.csv,r2,0.6156511306491107,47959776237.07618,2.1130459308624268
wr_sec/s_-../datasets/ssd.csv,r2,0.6156511306491107,47959776237.07618,2.159153938293457
wr_sec/s_-../datasets/ssd.csv,r2,0.8267790348015636,21614838478.69201,1.333282709121704
wr_sec/s_-../datasets/ssd.csv,r2,0.8267790348015636,21614838478.69201,1.3095159530639648
wr_sec/s_-../datasets/ssd.csv,r2,0.7555545374476184,30502365483.682102,1.4074437618255615
wr_sec/s_-../datasets/ssd.csv,r2,0.7555545374476184,30502365483.682102,1.3275110721588135
wr_sec/s_-../datasets/ssd.csv,r2,0.7102992914994974,36149400358.25133,1.3070476055145264
wr_sec/s_-../datasets/ssd.csv,r2,0.7102992914994974,36149400358.25133,1.36000394821167
wr_sec/s_-../datasets/ssd.csv,r2,0.738737590481919,32600815818.212406,1.2900009155273438
wr_sec/s_-../datasets/ssd.csv,r2,0.738737590481919,32600815818.212406,1.3027620315551758
wr_sec/s_-../datasets/ssd.csv,r2,0.6196999638828982,47454555195.99017,2.616828441619873
wr_sec/s_-../datasets/ssd.csv,r2,0.6196999638828982,47454555195.99017,2.6716701984405518
wr_sec/s_-../datasets/ssd.csv,r2,0.7667552233317105,29104722790.963726,1.3802146911621094
